group,layer,ecs_auroc,ecs_copy_auroc,pks_auroc,n_group,n_faithful_cmp
Negation,19,0.48701138395842,0.4866557730202978,0.5433889428509711,67,40628
Negation,20,0.5004206348389979,0.49752835703338183,0.506283072184612,67,40628
Negation,21,0.4988196508841046,0.5026913282362432,0.5210938269173969,67,40628
Negation,22,0.5041383855557302,0.5020072914936982,0.5087418573177237,67,40628
Negation,23,0.5046708835462346,0.5014373221026893,0.5092716000581908,67,40628
Negation,24,0.507032867561376,0.4988517954678708,0.4866576098536558,67,40628
Negation,25,0.5030620012079016,0.504010174587337,0.539483467765044,67,40628
Negation,26,0.4988657554013922,0.5017747483905666,0.5400352525058081,67,40628
Negation,27,0.5039653558534001,0.5101290338697376,0.5807538070208179,67,40628
Negation,28,0.5080772910087742,0.5136772448675202,0.5627715758119906,67,40628
Negation,29,0.49381060631664947,0.502019781960533,0.5585883715223234,67,40628
Negation,30,0.5048317901484014,0.5120713014625602,0.5864039064302392,67,40628
Negation,31,0.5054678855403009,0.508205869343839,0.6539064302392732,67,40628
